WORKLOADS,TLB TYPE,CORE_0_IPC,CORE_1_IPC,DTLB_READ_ACCESSES,DTLB_READ_MISSES,DTLB_READ_HIT_RATE,DTLB_WRITE_ACCESSES,DTLB_WRITE_MISSES,DTLB_WRITE_HIT_RATE
lbm+libq,Base TLB,0.357,0.371,117031255,11771207,0.899,66541717,40105283,0.397
bzip2+libq,Base TLB,0.296,0.371,100632556,11805091,0.883,75980799,44588418,0.413
libq+libq,Base TLB,0.356,0.356,112291748,12545432,0.888,72706716,44967867,0.382
bzip2+lbm,Base TLB,0.297,0.359,105372063,9916757,0.906,69815800,41491521,0.406
lbm+lbm,Base TLB,0.362,0.362,121770762,9465053,0.922,60376718,37079594,0.386
bzip2+bzip2,Base TLB,0.264,0.264,88973364,14297880,0.839,79254882,50816519,0.359
lbm+libq,SP-TLB,0.347,0.367,117031255,10196449,0.913,66541717,41391122,0.378
bzip2+libq,SP-TLB,0.245,0.367,100632556,15056296,0.850,75980799,48377114,0.363
libq+libq,SP-TLB,0.367,0.367,112291748,10237358,0.909,72706716,42550062,0.415
bzip2+lbm,SP-TLB,0.245,0.347,105372063,15015387,0.858,69815800,47218174,0.324
lbm+lbm,SP-TLB,0.347,0.347,121770762,10155540,0.917,60376718,40232182,0.334
bzip2+bzip2,SP-TLB,0.245,0.245,88973364,19875234,0.777,79254882,54204166,0.316
lbm+libq,TLBcoat,0.084,0.894,117031255,2399448,0.979,66541717,10432470,0.843
bzip2+libq,TLBcoat,0.175,0.891,100632556,3513921,0.965,75980799,16995757,0.776
libq+libq,TLBcoat,0.830,0.823,112291748,4084099,0.964,72706716,15102919,0.792
bzip2+lbm,TLBcoat,0.160,0.083,105372063,4906150,0.953,69815800,20812684,0.702
lbm+lbm,TLBcoat,0.081,0.080,121770762,4434238,0.964,60376718,16765662,0.772
bzip2+bzip2,TLBcoat,0.149,0.147,88973364,6861940,0.923,79254882,29410735,0.629
lbm+libq,RF-TLB,,,,,,,,
bzip2+libq,RF-TLB,,,,,,,,
libq+libq,RF-TLB,,,,,,,,
bzip2+lbm,RF-TLB,,,,,,,,
lbm+lbm,RF-TLB,,,,,,,,
bzip2+bzip2,RF-TLB,,,,,,,,
